Id,CreationDate,PostId,RelatedPostId,LinkTypeId
354255,2011-04-03T18:00:21.860,5834,5120,1
1040866,2013-10-06T20:42:15.980,19233,16119,1
1218683,2015-09-27T23:56:11.870,32632,14999,1
1745766,2020-02-10T02:27:29.640,46292,1284,1
1745225,2020-02-05T04:24:34.583,46292,46284,1
607321,2011-08-19T02:51:29.053,7849,555,1
1026293,2013-06-21T03:00:10.630,14347,3616,1
1026292,2013-06-21T03:00:10.630,14347,11166,1
1837841,2021-09-21T15:50:21.987,50514,50494,1
1010071,2013-03-26T11:59:31.843,17026,7552,1
1665952,2019-02-18T23:35:19.240,18523,39059,1
1051479,2013-12-06T17:28:44.917,20112,79,1
1068220,2014-03-08T19:27:14.163,21440,21409,1
1218974,2015-10-01T11:13:33.243,32678,32587,1
1299634,2016-08-17T19:24:19.877,36428,1060,1
1958296,2024-03-18T01:40:49.817,54072,6575,1
499460,2011-06-27T14:26:31.130,7139,3390,1
979183,2013-02-06T17:45:27.520,16385,1079,1
1165687,2015-03-06T10:42:55.970,30709,21534,1
1166518,2015-03-13T03:55:50.007,30709,25322,1
1165732,2015-03-06T15:11:25.220,30709,30712,1
1195416,2015-08-04T03:02:57.230,32160,5956,1
1195287,2015-08-02T10:17:31.213,32160,29266,1
1783132,2020-11-19T00:32:40.937,32160,32237,1
1300473,2016-08-22T04:41:00.047,36451,15038,1
108396,2010-10-26T14:59:44.957,2422,189,1
782979,2012-01-03T14:17:30.657,9584,3496,1
984706,2013-02-23T04:54:38.333,16485,10686,1
1165934,2015-03-09T10:07:14.307,30732,7983,1
1165945,2015-03-09T10:45:43.347,30732,22116,1
14399,2010-09-09T21:59:04.440,1117,625,1
14400,2010-09-09T21:59:04.440,1117,1037,1
36156,2010-09-20T11:39:20.430,1443,1425,1
1071496,2014-03-24T14:55:59.197,3650,1117,1
171113,2010-12-08T23:41:37.237,3650,2656,1
223930,2011-01-14T16:17:12.793,4314,93,1
1816067,2021-03-16T14:13:00.003,38274,48571,1
1814872,2021-02-19T07:27:24.717,48430,10396,1
1814873,2021-02-19T07:28:54.350,48430,27460,1
1815042,2021-02-21T18:05:43.010,48430,27460,3
1045095,2013-11-03T22:42:51.747,19640,12824,1
1309450,2016-10-07T13:03:10.310,36731,25512,1
1352465,2017-05-24T08:48:31.077,38274,9173,1
1352464,2017-05-24T08:48:31.077,38274,33567,1
1816029,2021-03-15T20:03:18.030,38274,47020,1
223929,2011-01-14T16:17:12.793,4314,1060,1
223903,2011-01-14T16:12:53.633,4314,4074,1
1132699,2014-10-10T16:02:58.323,138,174,1
1132698,2014-10-10T16:02:58.323,138,686,1
128284,2010-11-08T16:28:26.147,2794,2307,1
1253051,2016-01-28T17:32:23.117,33680,20282,1
65691,2010-10-03T17:08:51.993,284,1664,1
1070998,2014-03-22T14:35:59.503,21678,19335,1
32443,2010-09-18T01:16:30.620,1263,476,1
1950343,2023-11-27T15:38:16.683,1263,53598,1
1015650,2013-04-24T20:12:45.017,11081,17326,1
1165819,2015-03-07T14:31:18.097,30717,17456,1
1290137,2016-07-08T13:07:04.543,36136,36090,1
1768289,2020-07-28T22:39:18.707,47294,47259,1
1773779,2020-09-10T06:08:26.223,47543,47526,1
1946862,2023-11-16T03:08:20.350,53531,53543,1
1610085,2018-06-09T20:32:10.577,19548,40955,1
1664586,2019-02-11T22:04:38.010,42362,42296,1
1084594,2014-05-30T16:28:04.887,16608,8141,1
1117875,2014-07-24T15:27:47.753,20035,22093,1
1067360,2014-03-05T03:09:38.493,21363,489,1
1666083,2019-02-19T22:34:56.780,41924,21534,1
71265,2010-10-06T07:33:55.150,1938,1215,1
146341,2010-11-23T09:48:12.977,3278,2559,1
148495,2010-11-26T09:23:21.617,3278,3331,1
362812,2011-04-07T18:07:26.203,5934,1923,1
362811,2011-04-07T18:07:26.203,5934,4816,1
1688321,2019-05-21T12:15:46.973,43939,36005,1
198140,2010-12-29T19:06:49.760,4011,3879,1
693827,2011-09-27T14:03:21.867,8333,2515,1
909778,2012-12-23T21:25:57.757,14831,14811,1
952898,2013-01-21T18:22:06.623,16159,15009,1
1505871,2018-02-17T13:08:12.237,40212,12512,1
1683403,2019-04-27T00:37:42.523,43793,43787,1
1870334,2022-04-23T04:21:11.350,51370,38772,1
1941513,2023-09-12T13:24:03.887,53285,4697,1
1941512,2023-09-12T13:24:03.887,53285,51003,1
1020133,2013-05-16T01:06:33.760,17636,8259,1
1020134,2013-05-16T01:06:33.760,17636,14132,1
1024726,2013-06-11T16:20:15.860,17974,16228,1
1068206,2014-03-08T17:21:11.950,21417,17178,1
1068207,2014-03-08T17:23:20.160,21417,19358,1
1074093,2014-04-06T03:04:49.037,21958,17239,1
1824625,2021-04-13T15:39:23.567,48768,34877,1
1919095,2023-03-15T07:46:42.827,52598,52569,1
1074094,2014-04-06T03:05:59.027,21958,17914,1
