Id,TagName,Count,ExcerptPostId,WikiPostId
2,combinatory-logic,22,,
4,functional-programming,130,,
5,sorting,124,10678,10677
11,hamiltonian-paths,45,10667,10666
12,total-ordering,7,,
14,concurrency,55,7907,7906
15,process-algebra,17,,
16,formal-modeling,33,7927,7926
17,set-cover,81,,
18,space-bounded,89,3781,3780
19,oracles,107,18624,18623
20,imperative-programming,8,,
24,computability,399,2555,2554
26,career,47,9932,9931
28,descriptive-complexity,57,10201,10200
29,automata-theory,427,5767,5766
33,hash-function,75,,
34,permutations,91,,
36,transitive-closure,9,,
37,quantum-computing,403,6171,6170
38,string-search,25,,
41,open-problem,79,3396,3395
42,reference-request,1628,5426,5425
43,randomness,164,25043,25042
44,derandomization,106,19026,19025
45,graph-theory,1548,3228,3227
47,ppad,16,,
48,pcp,53,1463,1462
52,tree,110,7773,7772
55,treewidth,90,19024,19023
57,bounds,4,,
59,ho.history-overview,87,8741,8740
60,dfa,63,19028,19027
65,proofs,89,3036,3035
66,survey,44,,
67,examples,20,,
68,unique-games-conjecture,21,,
72,language-design,15,,
81,machine-learning,365,5879,5878
83,online-learning,22,2468,2467
84,integer-programming,90,,
89,universal-computation,53,,
90,algebraic-complexity,94,,
91,circuit-complexity,390,8092,8091
92,lower-bounds,280,6173,6172
93,coding-theory,126,25026,25025
94,co.combinatorics,675,3785,3784
95,cliquewidth,11,,
96,reductions,210,8090,8089
97,regular-expressions,69,6130,6129
102,sample-complexity,41,,
103,big-list,173,5498,5497
108,parameterized-complexity,115,1456,1455
110,np-hardness,731,3216,3215
112,sat,341,1741,1740
114,complexity-classes,673,5741,5740
115,np,138,1465,1464
116,matrices,149,,
118,markov-chains,47,,
122,tensor-rank,8,,
123,model-checking,55,51867,51866
127,chernoff-bound,26,,
129,dynamic-algorithms,27,,
130,lambda-calculus,269,17722,17721
134,random-walks,36,,
135,property-testing,39,,
136,metrics,25,,
137,program-verification,48,10665,10664
140,recursion,35,,
142,apx,8,,
144,it.information-theory,206,7833,7832
145,turing-machines,238,18161,18160
151,primal-dual,21,,
153,proof-complexity,82,3040,3039
154,hypergraphs,40,,
155,graph-isomorphism,137,5909,5908
157,algebra,102,,
162,time-complexity,403,8738,8737
165,linear-programming,209,12014,12013
166,approximation-algorithms,516,3218,3217
167,compressed-sensing,14,,
170,alternating-hierarchy,4,,
171,semantics,83,,
172,topology,40,7760,7759
173,computable-analysis,19,,
180,terminology,95,9926,9925
181,circuit-families,26,,
182,streaming,13,,
184,expanders,50,5429,5428
187,embeddings,28,,
188,big-picture,201,1240,1239
192,randomized-algorithms,214,10653,10652
194,type-inference,45,,
195,interactive-proofs,69,,
196,polynomials,117,,
197,puzzles,34,,
198,data-sets,11,8079,8078
199,binary-decision-diagrams,13,,
200,type-theory,404,5889,5888
201,polymorphism,12,,
